а	a
батынбады	b a t ih n b a d ih
батынбай	b a t ih n b a j
батынбас	b a t ih n b a s
батынышпады	b a t ih n ih sh p a d ih
батып	b a t ih p
батыра	b a t ih r a
батырбагандыгы	b a t ih r b a gh a n d ih gh ih
батырса	b a t ih r s a
батырууга	b a t ih r u u gh a
батыш	b a t ih sh
батышка	b a t ih sh q a
батыштан	b a t ih sh t a n
батышты	b a t ih sh t ih
баш	b a sh
башаламан	b a sh a l a m a n
башаягы	b a sh a j a gh ih
башаягын	b a sh a j a gh ih n
башаягына	b a sh a j a gh ih n a
башаягында	b a sh a j a gh ih n d a
башаягындагы	b a sh a j a gh ih n d a gh ih
башбагып	b a sh b a gh ih p
башбактаган	b a sh b a q t a gh a n
башбактагансыйт	b a sh b a q t a gh a n s ih j t
башка	b a sh q a
башкабы	b a sh q a w ih
башкага	b a sh q a gh a
башкада	b a sh q a d a
башкалар	b a sh q a l a r
башкаларга	b a sh q a l a r gh a
башкалардан	b a sh q a l a r d a n
башкаларды	b a sh q a l a r d ih
башкалардыкына	b a sh q a l a r d ih q ih n a
башкалардын	b a sh q a l a r d ih n
башкалары	b a sh q a l a r ih
башкаларын	b a sh q a l a r ih n
башканы	b a sh q a n ih
башканыкына	b a sh q a n ih q ih n a
башканын	b a sh q a n ih n
башкара	b a sh q a r a
башкараак	b a sh q a r a a к
башкарат	b a sh q a r a t
башкарбаса	b a sh q a r b a s a
башкарган	b a sh q a r gh a n
башкаргандар	b a sh q a r gh a n d a r
башкарма	b a sh q a r m a
башкармак	b a sh q a r m a к
башкарманын	b a sh q a r m a n ih n
башкарууну	b a sh q a r u u n u
башкаруучулар	b a sh q a r u u tsh u l a r
башкаруучулардан	b a sh q a r u u tsh u l a r d a n
башкаруучулары	b a sh q a r u u tsh u l a r ih
башкарылып	b a sh q a r ih l ih p
башкарып	b a sh q a r ih p
башкарышмак	b a sh q a r ih sh m a к
башкарышына	b a sh q a r ih sh ih n a
башкасы	b a sh q a s ih
башкасын	b a sh q a s ih n
башкача	b a sh q a tsh a
башкачараак	b a sh q a tsh a r a a к
башкаң	b a sh q a ng
башкы	b a sh q ih
башпакпайт	b a sh p a q p a j t
башта	b a sh t a
баштаар	b a sh t a a r
баштаары	b a sh t a a r ih
баштаарын	b a sh t a a r ih n
баштабагансып	b a sh t a w a gh a n s ih p
баштабаса	b a sh t a w a s a
баштаган	b a sh t a gh a n
баштаганда	b a sh t a gh a n d a
баштагандан	b a sh t a gh a n d a n
баштагандыр	b a sh t a gh a n d ih r
баштаганы	b a sh t a gh a n ih
баштаганын	b a sh t a gh a n ih n
баштаганына	b a sh t a gh a n ih n a
баштаганынан	b a sh t a gh a n ih n a n
баштагыдай	b a sh t a gh ih d a j
баштагыла	b a sh t a gh ih l a
баштагысы	b a sh t a gh ih s ih
баштагысындай	b a sh t a gh ih s ih n d a j
баштады	b a sh t a d ih
баштадым	b a sh t a d ih m
баштадың	b a sh t a d ih ng
баштай	b a sh t a j
баштайбыз	b a sh t a j b ih z
баштайлы	b a sh t a j l ih
баштайт	b a sh t a j t
баштала	b a sh t a l a
башталар	b a sh t a l a r
башталарда	b a sh t a l a r d a
башталат	b a sh t a l a t
башталбай	b a sh t a l b a j
башталган	b a sh t a l gh a n
башталганда	b a sh t a l gh a n d a
башталгандан	b a sh t a l gh a n d a n
башталгансыды	b a sh t a l gh a n s ih d ih
башталганча	b a sh t a l gh a n tsh a
башталганын	b a sh t a l gh a n ih n
башталганына	b a sh t a l gh a n ih n a
башталды	b a sh t a l d ih
башталса	b a sh t a l s a
башталуудан	b a sh t a l u u d a n
башталуучу	b a sh t a l u u tsh u
башталчу	b a sh t a l tsh u
башталып	b a sh t a l ih p
баштан	b a sh t a n
баштанбады	b a sh t a n b a d ih
баштанган	b a sh t a n gh a n
баштанып	b a sh t a n ih p
баштап	b a sh t a p
баштаптыр	b a sh t a p t ih r
баштар	b a sh t a r
баштары	b a sh t a r ih
баштарын	b a sh t a r ih n
баштарына	b a sh t a r ih n a
баштарынын	b a sh t a r ih n ih n
баштаса	b a sh t a s a
башташат	b a sh t a sh a t
башташкан	b a sh t a sh q a n
башташпай	b a sh t a sh p a j
башташты	b a sh t a sh t ih
башташы	b a sh t a sh ih
башташынан	b a sh t a sh ih n a n
баштаң	b a sh t a ng
баштоого	b a sh t o o gh o
баштоону	b a sh t o o n u
баштоонун	b a sh t o o n u n
баштоочу	b a sh t o o tsh u
баштыгын	b a sh t ih gh ih n
баштык	b a sh t ih к
баштыкка	b a sh t ih q q a
баштыктагы	b a sh t ih q t a gh ih
баштыктардын	b a sh t ih q t a r d ih n
баштыкты	b a sh t ih q t ih
баштыкчанын	b a sh t ih q tsh a n ih n
баштын	b a sh t ih n
башчы	b a sh tsh ih
башчысы	b a sh tsh ih s ih
башы	b a sh ih
башыаа	b a sh ih a a
башыбызды	b a sh ih w ih z d ih
башым	b a sh ih m
башыман	b a sh ih m a n
башымда	b a sh ih m d a
башымды	b a sh ih m d ih
башын	b a sh ih n
башына	b a sh ih n a
башынан	b a sh ih n a n
башында	b a sh ih n d a
башындагы	b a sh ih n d a gh ih
башынын	b a sh ih n ih n
башың	b a sh ih ng
башыңа	b a sh ih ng a
башыңан	b a sh ih ng a n
башыңды	b a sh ih ng d ih
башыңыздан	b a sh ih ng ih z d a n
бая	b a j a
баягы	b a j a gh ih
баягыбойдон	b a j a gh ih w o j d o n
баягыда	b a j a gh ih d a
баягыдай	b a j a gh ih d a j
баягысынча	b a j a gh ih s ih n tsh a
баягычы	b a j a gh ih tsh ih
баякедей	b a j a k e d e j
баякем	b a j a k e m
баякесиндей	b a j a k e s i n d e j
баяндады	b a j a n d a d ih
баяндап	b a j a n d a p
баяндоого	b a j a n d o o gh o
баяндоону	b a j a n d o o n u
баянындай	b a j a n ih n d a j
баянынын	b a j a n ih n ih n
баятан	b a j a t a n
бе	b e
бегимий	b e g i m i j
бедел	b e d e l
беденин	b e d e n i n
безгек	b e z g e к
бей	b e j
бейбак	b e j b a к
бейбактын	b e j b a q t ih n
бейбаштык	b e j b a sh t ih к
бейит	b e j i t
бейитинин	b e j i t i n i n
бейиш	b e j i sh
бейиши	b e j i sh i
бейкапар	b e j q a p a r
бейкут	b e j q u t
бейм	b e j m
беймаал	b e j m a a l
беймаза	b e j m a z a
беймазалана	b e j m a z a l a n a
беймазаланат	b e j m a z a l a n a t
бейтааныш	b e j t a a n ih sh
бейубак	b e j u w a к
бейубакта	b e j u w a q t a
бейчеки	b e j tsh e k i
бейшеке	b e j sh e k e
бек	b e к
бекем	b e k e m
бекемдеди	b e k e m d e d i
бекемдеп	b e k e m d e p
бекен	b e k e n
бекенмин	b e k e n m i n
бекер	b e k e r
бекеринен	b e k e r i n e n
бекерчи	b e k e r tsh i
бекерчиликтин	b e k e r tsh i l i k t i n
бекзатым	b e k z a t ih m
бекилбептир	b e k i l b e p t i r
бекилип	b e k i l i p
бекин	b e k i n
бекинип	b e k i n i p
бекитип	b e k i t i p
бекитүүдөн	b e k i t y y d oe n
бекке	b e k k e
бектен	b e k t e n
бектенбылтыртан	b e k t e n b ih l t ih r t a n
бектенге	b e k t e n g e
бектенди	b e k t e n d i
бектендин	b e k t e n d i n
бел	b e l
белги	b e l g i
белгилейт	b e l g i l e j t
белгиленди	b e l g i l e n d i
белгилеп	b e l g i l e p
белгилер	b e l g i l e r
белгилери	b e l g i l e r i
белгилерине	b e l g i l e r i n e
белгилешти	b e l g i l e sh t i
белгилүү	b e l g i l y y
белгиси	b e l g i s i
белгисиз	b e l g i s i z
белгисизи	b e l g i s i z i
белгисин	b e l g i s i n
белгисиндей	b e l g i s i n d e j
белдей	b e l d e j
белдемчи	b e l d e m tsh i
белдин	b e l d i n
белдүү	b e l d y y
беле	b e l e
белегин	b e l e g i n
белек	b e l e к
белекке	b e l e k k e
белем	b e l e m
белен	b e l e n
беленденгенсип	b e l e n d e n g e n s i p
белендеп	b e l e n d e p
белендешип	b e l e n d e sh i p
белендөөдө	b e l e n d oe oe d oe
белес	b e l e s
белесин	b e l e s i n
белеске	b e l e s k e
белестерге	b e l e s t e r g e
белең	b e l e ng
бели	b e l i
белибиз	b e l i b i z
белин	b e l i n
белиндеги	b e l i n d e g i
белине	b e l i n e
белинен	b e l i n e n
белмөнүн	b e l m oe n y n
белсене	b e l s e n e
бер	b e r
бербеген	b e r b e g e n
бербегенден	b e r b e g e n d e n
бербегениңе	b e r b e g e n i ng e
бербеди	b e r b e d i
бербей	b e r b e j
бербейли	b e r b e j l i
бербейсиң	b e r b e j s i ng
бербейсиңби	b e r b e j s i ng b i
бербейт	b e r b e j t
бербептирсиз	b e r b e p t i r s i z
бербес	b e r b e s
бербесе	b e r b e s e
бербесеңер	b e r b e s e ng e r
бербеси	b e r b e s i
бербесин	b e r b e s i n
бербөө	b e r b oe oe
бербөөнү	b e r b oe oe n y
берген	b e r g e n
бергенде	b e r g e n d e
бергендей	b e r g e n d e j
бергенден	b e r g e n d e n
бергендер	b e r g e n d e r
бергендиги	b e r g e n d i g i
бергендигибиз	b e r g e n d i g i b i z
бергендигине	b e r g e n d i g i n e
бергендигиң	b e r g e n d i g i ng
бергендиктен	b e r g e n d i k t e n
бергени	b e r g e n i
бергенибиз	b e r g e n i b i z
бергенинен	b e r g e n i n e n
бергениңе	b e r g e n i ng e
бергенсип	b e r g e n s i p
бергиле	b e r g i l e
бергилечи	b e r g i l e tsh i
бергин	b e r g i n
бергиси	b e r g i s i
берди	b e r d i
бердиби	b e r d i b i
бердим	b e r d i m
бердиң	b e r d i ng
бердиңер	b e r d i ng e r
бере	b e r e
береби	b e r e b i
беребиз	b e r e b i z
беребизби	b e r e b i z b i
береги	b e r e g i
берейин	b e r e j i n
береке	b e r e k e
берекелүү	b e r e k e l y y
берекелүүлүгү	b e r e k e l y y l y g y
берекелүүлүгүн	b e r e k e l y y l y g y n
берекем	b e r e k e m
берекеси	b e r e k e s i
береки	b e r e k i
берели	b e r e l i
берелиби	b e r e l i b i
берем	b e r e m
беремби	b e r e m b i
беремин	b e r e m i n
берер	b e r e r
берерге	b e r e r g e
берерде	b e r e r d e
берери	b e r e r i
берерин	b e r e r i n
бересиң	b e r e s i ng
бересиңби	b e r e s i ng b i
бересиңер	b e r e s i ng e r
берет	b e r e t
бери	b e r i
берилген	b e r i l g e n
берилгендиги	b e r i l g e n d i g i
берилип	b e r i l i p
берилтүүдө	b e r i l t y y d oe
берилчү	b e r i l tsh y
берилүүчү	b e r i l y y tsh y
берип	b e r i p
бериптир	b e r i p t i r
бериц	b e r i ts
беришет	b e r i sh e t
бериши	b e r i sh i
беришин	b e r i sh i n
беришине	b e r i sh i n e
беришинин	b e r i sh i n i n
беришип	b e r i sh i p
беришиптир	b e r i sh i p t i r
беришкен	b e r i sh k e n
беришкенден	b e r i sh k e n d e n
беришкени	b e r i sh k e n i
беришти	b e r i sh t i
беришчү	b e r i sh tsh y
бериңиз	b e r i ng i z
бериңиздеди	b e r i ng i z d e d i
бериңиздер	b e r i ng i z d e r
бериңизчи	b e r i ng i z tsh i
берки	b e r k i
беркилер	b e r k i l e r
беркилерди	b e r k i l e r d i
беркинин	b e r k i n i n
бермей	b e r m e j
бермейинче	b e r m e j i n tsh e
бермек	b e r m e к
берметтей	b e r m e t t e j
берсе	b e r s e
берсем	b e r s e m
берсең	b e r s e ng
берсеңер	b e r s e ng e r
берсеңиз	b e r s e ng i z
берсеңчи	b e r s e ng tsh i
берсин	b e r s i n
берчи	b e r tsh i
берчү	b e r tsh y
берчүдөй	b e r tsh y d oe j
берүү	b e r y y
берүүгө	b e r y y g oe
берүүдө	b e r y y d oe
берүүдөн	b e r y y d oe n
берүүнү	b e r y y n y
берүүнүн	b e r y y n y n
берүүсүн	b e r y y s y n
берүүчү	b e r y y tsh y
бет	b e t
бетеге	b e t e g e
бетегеси	b e t e g e s i
бетер	b e t e r
бети	b e t i
бетибашты	b e t i b a sh t ih
бетибашы	b e t i b a sh ih
бетибашын	b e t i b a sh ih n
бетибашынан	b e t i b a sh ih n a n
бетибашыңыздын	b e t i b a sh ih ng ih z d ih n
бетим	b e t i m
бетимди	b e t i m d i
бетиме	b e t i m e
бетин	b e t i n
бетинде	b e t i n d e
бетиндеги	b e t i n d e g i
бетине	b e t i n e
бетинен	b e t i n e n
бетинин	b e t i n i n
бетинче	b e t i n tsh e
бетиң	b e t i ng
бетиңди	b e t i ng d i
бетке	b e t k e
бетмаңдайлаш	b e t m a ng d a j l a sh
бетмаңдайына	b e t m a ng d a j ih n a
бетмаңдайынан	b e t m a ng d a j ih n a n
бетмаңдайында	b e t m a ng d a j ih n d a
бетмебет	b e t m e b e t
беттен	b e t t e n
беттер	b e t t e r
беттердеги	b e t t e r d e g i
беттери	b e t t e r i
беттеринде	b e t t e r i n d e
беттерине	b e t t e r i n e
беттеринин	b e t t e r i n i n
беттеше	b e t t e sh e
беттешерин	b e t t e sh e r i n
беттешип	b e t t e sh i p
беттешкенин	b e t t e sh k e n i n
беттешпегенин	b e t t e sh p e g e n i n
беттештиргиле	b e t t e sh t i r g i l e
беттештирип	b e t t e sh t i r i p
беттешүүдө	b e t t e sh y y d oe
беттин	b e t t i n
беттүү	b e t t y y
бечара	b e tsh a r a
бечарабы	b e tsh a r a w ih
бечарага	b e tsh a r a gh a
бечарадай	b e tsh a r a d a j
бечарай	b e tsh a r a j
бечаралар	b e tsh a r a l a r
бечараларга	b e tsh a r a l a r gh a
бечараларды	b e tsh a r a l a r d ih
бечаралыгын	b e tsh a r a l ih gh ih n
бечараны	b e tsh a r a n ih
бечаранын	b e tsh a r a n ih n
беш	b e sh
бешалты	b e sh a l t ih
бешигинде	b e sh i g i n d e
бешигине	b e sh i g i n e
бешик	b e sh i к
бешиктеги	b e sh i k t e g i
бешиктө	b e sh i k t oe
бешим	b e sh i m
бешимге	b e sh i m g e
бешимден	b e sh i m d e n
бешинчи	b e sh i n tsh i
бешке	b e sh k e
бешмант	b e sh m a n t
бешмантчан	b e sh m a n t tsh a n
бешмантынын	b e sh m a n t ih n ih n
бешманы	b e sh m a n ih
бешташ	b e sh t a sh
бешташка	b e sh t a sh q a
бешташтагы	b e sh t a sh t a gh ih
бешташтан	b e sh t a sh t a n
бешташты	b e sh t a sh t ih
бешташтын	b e sh t a sh t ih n
бештен	b e sh t e n
бештин	b e sh t i n
бешөө	b e sh oe oe
бешөөнүн	b e sh oe oe n y n
бзэ	b z eh
бзүнүн	b z y n y n
биерге	b i e r g e
биерден	b i e r d e n
биз	b i z
бизге	b i z g e
бизде	b i z d e
биздегидей	b i z d e g i d e j
биздей	b i z d e j
бизден	b i z d e n
бизди	b i z d i
биздики	b i z d i k i
биздикине	b i z d i k i n e
биздин	b i z d i n
биидин	b i i d i n
бий	b i j
бийге	b i j g e
бийден	b i j d e n
бийди	b i j d i
бийдин	b i j d i n
бийик	b i j i к
бийиктикке	b i j i k t i k k e
бийлеген	b i j l e g e n
бийлегиле	b i j l e g i l e
бийледи	b i j l e d i
бийлейт	b i j l e j t
бийлеп	b i j l e p
бийлепу	b i j l e p u
бийлер	b i j l e r
бийлерге	b i j l e r g e
бийлесе	b i j l e s e
бийлиги	b i j l i g i
бийлигин	b i j l i g i n
бийлигине	b i j l i g i n e
бийлик	b i j l i к
бийликке	b i j l i k k e
бийликтен	b i j l i k t e n
бийликтер	b i j l i k t e r
бийликтин	b i j l i k t i n
бийлөө	b i j l oe oe
бийлөөдө	b i j l oe oe d oe
бил	b i l
биларман	b i l a r m a n
билбеген	b i l b e g e n
билбегенге	b i l b e g e n g e
билбегендер	b i l b e g e n d e r
билбегендери	b i l b e g e n d e r i
билбегендерине	b i l b e g e n d e r i n e
билбегенди	b i l b e g e n d i
билбегендиги	b i l b e g e n d i g i
билбегени	b i l b e g e n i
билбегеним	b i l b e g e n i m
билбегенин	b i l b e g e n i n
билбегениң	b i l b e g e n i ng
билбеди	b i l b e d i
билбей	b i l b e j
билбейби	b i l b e j b i
билбейбиз	b i l b e j b i z
билбейм	b i l b e j m
билбеймин	b i l b e j m i n
билбейсизби	b i l b e j s i z b i
билбейсиң	b i l b e j s i ng
билбейсиңби	b i l b e j s i ng b i
билбейсиңерби	b i l b e j s i ng e r b i
билбейсиңои	b i l b e j s i ng o i
билбейт	b i l b e j t
билбес	b i l b e s
билбесе	b i l b e s e
билбесен	b i l b e s e n
билбесең	b i l b e s e ng
билбесеңиэ	b i l b e s e ng i eh
билген	b i l g e n
билгенге	b i l g e n g e
билгенде	b i l g e n d e
билгендей	b i l g e n d e j
билгенден	b i l g e n d e n
билгендер	b i l g e n d e r
билгендерге	b i l g e n d e r g e
билгендерден	b i l g e n d e r d e n
билгендердин	b i l g e n d e r d i n
билгендери	b i l g e n d e r i
билгендерин	b i l g e n d e r i n
билгендеринин	b i l g e n d e r i n i n
билгендиги	b i l g e n d i g i
билгени	b i l g e n i
билгеним	b i l g e n i m
билгенимди	b i l g e n i m d i
билгенимен	b i l g e n i m e n
билгенин	b i l g e n i n
билгениндей	b i l g e n i n d e j
билгениң	b i l g e n i ng
билгениңди	b i l g e n i ng d i
билгенсип	b i l g e n s i p
билгизбесмин	b i l g i z b e s m i n
билгизбөө	b i l g i z b oe oe
билгизген	b i l g i z g e n
билгизди	b i l g i z d i
билгизип	b i l g i z i p
билгилери	b i l g i l e r i
билгиси	b i l g i s i
билгичтиги	b i l g i tsh t i g i
билгиң	b i l g i ng
билди	b i l d i
билдик	b i l d i к
билдирбейбиз	b i l d i r b e j b i z
билдирген	b i l d i r g e n
билдиргени	b i l d i r g e n i
билдирди	b i l d i r d i
билдиреби	b i l d i r e b i
билдирип	b i l d i r i p
билдиришти	b i l d i r i sh t i
билдирчү	b i l d i r tsh y
билдирүүгө	b i l d i r y y g oe
билдиң	b i l d i ng
билдиңби	b i l d i ng b i
билдиңер	b i l d i ng e r
билдиңиз	b i l d i ng i z
биле	b i l e
билеби	b i l e b i
билебиз	b i l e b i z
билеги	b i l e g i
билегин	b i l e g i n
билегине	b i l e g i n e
билейин	b i l e j i n
билейинчи	b i l e j i n tsh i
билектеги	b i l e k t e g i
билектен	b i l e k t e n
билектерин	b i l e k t e r i n
билелектериң	b i l e l e k t e r i ng
билем	b i l e m
билемин	b i l e m i n
билер	b i l e r
билербиз	b i l e r b i z
билери	b i l e r i
билеригин	b i l e r i g i n
билериктердин	b i l e r i k t e r d i n
билериктерин	b i l e r i k t e r i n
билерин	b i l e r i n
билерман	b i l e r m a n
билермандар	b i l e r m a n d a r
билермандардын	b i l e r m a n d a r d ih n
билермандары	b i l e r m a n d a r ih
билермандарынын	b i l e r m a n d a r ih n ih n
билермандыгы	b i l e r m a n d ih gh ih
билермандык	b i l e r m a n d ih к
билерманы	b i l e r m a n ih
билерсиз	b i l e r s i z
билерсиң	b i l e r s i ng
билесиз	b i l e s i z
билесизби	b i l e s i z b i
билесиң	b i l e s i ng
билесиңби	b i l e s i ng b i
билесиңерби	b i l e s i ng e r b i
билет	b i l e t
биликти	b i l i k t i
билим	b i l i m
билимге	b i l i m g e
билимдин	b i l i m d i n
билимдүү	b i l i m d y y
билимдүүлөр	b i l i m d y y l oe r
билимдүүнүн	b i l i m d y y n y n
билими	b i l i m i
билимин	b i l i m i n
билинбе	b i l i n b e
билинбеген	b i l i n b e g e n
билинбегени	b i l i n b e g e n i
билинбей	b i l i n b e j
билинбейт	b i l i n b e j t
билинбесе	b i l i n b e s e
билинди	b i l i n d i
билине	b i l i n e
билинет	b i l i n e t
билинип	b i l i n i p
билиниши	b i l i n i sh i
билинсе	b i l i n s e
билинчү	b i l i n tsh y
билип	b i l i p
билипшп	b i l i p sh p
билишет	b i l i sh e t
билиши	b i l i sh i
билишиң	b i l i sh i ng
билишкен	b i l i sh k e n
билишкенден	b i l i sh k e n d e n
билишпей	b i l i sh p e j
билишпейт	b i l i sh p e j t
билишпес	b i l i sh p e s
билишсин	b i l i sh s i n
билишти	b i l i sh t i
билишчү	b i l i sh tsh y
билиңиз	b i l i ng i z
билмейман	b i l m e j m a n
билмек	b i l m e к
билмексен	b i l m e k s e n
билсе	b i l s e
билсең	b i l s e ng
билсин	b i l s i n
билчү	b i l tsh y
билүчү	b i l y tsh y
билүү	b i l y y
билүүгө	b i l y y g oe
билүүдө	b i l y y d oe
билүүнү	b i l y y n y
билүүнүн	b i l y y n y n
билүүчү	b i l y y tsh y
бир	b i r
бирбирибиз	b i r b i r i b i z
бирге	b i r g e
биргелешип	b i r g e l e sh i p
бирде	b i r d e
бирдеме	b i r d e m e
бирдемеге	b i r d e m e g e
бирдемелерди	b i r d e m e l e r d i
бирдемени	b i r d e m e n i
бирден	b i r d e n
бирденбир	b i r d e n b i r
бирденэкиден	b i r d e n eh k i d e n
бирди	b i r d i
бирегей	b i r e g e j
бирержарым	b i r e r zh a r ih m
бирержарымы	b i r e r zh a r ih m ih
бирержарымын	b i r e r zh a r ih m ih n
бири	b i r i
бириби	b i r i b i
бирибиз	b i r i b i z
бирибизди	b i r i b i z d i
бирибири	b i r i b i r i
бирибирибиз	b i r i b i r i b i z
бирибирибизден	b i r i b i r i b i z d e n
бирибирин	b i r i b i r i n
бирибирине	b i r i b i r i n e
бирибиринен	b i r i b i r i n e n
бирибиринин	b i r i b i r i n i n
бириге	b i r i g e
биригип	b i r i g i p
биригишип	b i r i g i sh i p
биригишпей	b i r i g i sh p e j
бирикмек	b i r i k m e к
бириктире	b i r i k t i r e
бирин	b i r i n
биринбири	b i r i n b i r i
биринде	b i r i n d e
бириндей	b i r i n d e j
бирине	b i r i n e
биринен	b i r i n e n
бириникин	b i r i n i k i n
биринин	b i r i n i n
биринсерин	b i r i n s e r i n
биринсериндеп	b i r i n s e r i n d e p
биринчи	b i r i n tsh i
биринчиден	b i r i n tsh i d e n
биринчисинде	b i r i n tsh i s i n d e
бириң	b i r i ng
бирлери	b i r l e r i
бирлерин	b i r l e r i n
бирок	b i r o к
бироокум	b i r o o q u m
бироокумда	b i r o o q u m d a
бироонү	b i r o o n y
биротоло	b i r o t o l o
бирск	b i r s к
бирыңтай	b i r ih ng t a j
бирэки	b i r eh k i
бирэкиден	b i r eh k i d e n
бирөө	b i r oe oe
бирөөгө	b i r oe oe g oe
бирөөдөн	b i r oe oe d oe n
бирөөлөр	b i r oe oe l oe r
бирөөлөргө	b i r oe oe l oe r g oe
бирөөлөрдү	b i r oe oe l oe r d y
бирөөлөрдүкү	b i r oe oe l oe r d y k y
бирөөлөрдүн	b i r oe oe l oe r d y n
бирөөлөрү	b i r oe oe l oe r y
бирөөнү	b i r oe oe n y
бирөөнүн	b i r oe oe n y n
бирөөң	b i r oe oe ng
бисмилла	b i s m i l l a
битирин	b i t i r i n
биялы	b i j a l ih
бкринин	b кr i n i n
бодур	b o d u r
божомолдоду	b o zh o m o l d o d u
божомолдоого	b o zh o m o l d o o gh o
божураган	b o zh u r a gh a n
божурады	b o zh u r a d ih
божурап	b o zh u r a p
боз	b o z
боздогону	b o z d o gh o n u
боздогонуна	b o z d o gh o n u n a
боздой	b o z d o j
бозо	b o z o
бозого	b o z o gh o
бозодогу	b o z o d o gh u
бозодон	b o z o d o n
бозокордун	b o z o q o r d u n
бозокорлор	b o z o q o r l o r
бозокорлордун	b o z o q o r l o r d u n
бозону	b o z o n u
бозонун	b o z o n u n
бозоруп	b o z o r u p
бозосу	b o z o s u
бозочулардын	b o z o tsh u l a r d ih n
бозоюн	b o z o j u n
бой	b o j
бойаягыма	b o j a j a gh ih m a
бойаягына	b o j a j a gh ih n a
бойго	b o j gh o
бойдок	b o j d o к
бойдон	b o j d o n
бойлой	b o j l o j
бойлоп	b o j l o p
бойлуу	b o j l u u
бокочо	b o q o tsh o
бол	b o l
боласан	b o l a s a n
болбо	b o l b o
болбогендо	b o l b o g e n d o
болбогон	b o l b o gh o n
болбогондо	b o l b o gh o n d o
болбогондон	b o l b o gh o n d o n
болбогондуктан	b o l b o gh o n d u q t a n
болбогону	b o l b o gh o n u
болбогонуңду	b o l b o gh o n u ng d u
болбогула	b o l b o gh u l a
болбоду	b o l b o d u
болбодубу	b o l b o d u w u
болбодумбу	b o l b o d u m b u
болбодуң	b o l b o d u ng
болбодуңар	b o l b o d u ng a r
болбой	b o l b o j
болбойбу	b o l b o j b u
болбойм	b o l b o j m
болбоймун	b o l b o j m u n
болбойсуңар	b o l b o j s u ng a r
болбойсуңбу	b o l b o j s u ng b u
болбойт	b o l b o j t
болбоо	b o l b o o
болбос	b o l b o s
болбосо	b o l b o s o
болбосоң	b o l b o s o ng
болбосоңуз	b o l b o s o ng u z
болбостон	b o l b o s t o n
болбосун	b o l b o s u n
болбосуна	b o l b o s u n a
болбоюн	b o l b o j u n
болбоңуз	b o l b o ng u z
болгомун	b o l gh o m u n
болгон	b o l gh o n
болгонбу	b o l gh o n b u
болгондо	b o l gh o n d o
болгондой	b o l gh o n d o j
болгондон	b o l gh o n d o n
болгондор	b o l gh o n d o r
болгондугу	b o l gh o n d u gh u
болгондугун	b o l gh o n d u gh u n
болгондугуна	b o l gh o n d u gh u n a
болгондуктан	b o l gh o n d u q t a n
болгондур	b o l gh o n d u r
болгонсуйт	b o l gh o n s u j t
болгонсуп	b o l gh o n s u p
болгонсушуп	b o l gh o n s u sh u p
болгонсуң	b o l gh o n s u ng
болгону	b o l gh o n u
болгонум	b o l gh o n u m
болгонун	b o l gh o n u n
болгонуна	b o l gh o n u n a
болгонуң	b o l gh o n u ng
болгонуңа	b o l gh o n u ng a
болгонуңду	b o l gh o n u ng d u
болгончо	b o l gh o n tsh o
болгоң	b o l gh o ng
болгсндо	b o l гs n d o
болгубуз	b o l gh u w u z
болгула	b o l gh u l a
болгум	b o l gh u m
болгур	b o l gh u r
болду	b o l d u
болдук	b o l d u к
болдукпу	b o l d u q p u
болдум	b o l d u m
болдуң	b o l d u ng
болжогон	b o l zh o gh o n
болжогондой	b o l zh o gh o n d o j
болжоду	b o l zh o d u
болжол	b o l zh o l
болжолдуу	b o l zh o l d u u
болжолу	b o l zh o l u
болжолун	b o l zh o l u n
болжолунан	b o l zh o l u n a n
болжоо	b o l zh o o
болжоого	b o l zh o o gh o
болжоп	b o l zh o p
болжошту	b o l zh o sh t u
болк	b o l к
болмок	b o l m o к
болмоктур	b o l m o q t u r
болмокчусуң	b o l m o q tsh u s u ng
болмоюнча	b o l m o j u n tsh a
боло	b o l o
болобу	b o l o w u
болобудеп	b o l o w u d e p
болобуз	b o l o w u z
болобузбу	b o l o w u z b u
бололу	b o l o l u
болом	b o l o m
боломжолоочунун	b o l o m zh o l o o tsh u n u n
болор	b o l o r
болормун	b o l o r m u n
болору	b o l o r u
болорубузду	b o l o r u w u z d u
болорун	b o l o r u n
болоруна	b o l o r u n a
болоруң	b o l o r u ng
болоруңду	b o l o r u ng d u
болосуң	b o l o s u ng
болосуңар	b o l o s u ng a r
болот	b o l o t
болоюн	b o l o j u n
болоюнум	b o l o j u n u m
болсо	b o l s o
болсок	b o l s o к
болсом	b o l s o m
болсочу	b o l s o tsh u
болсоң	b o l s o ng
болсоңор	b o l s o ng o r
болсоңуз	b o l s o ng u z
болсун	b o l s u n
болсунчу	b o l s u n tsh u
болуп	b o l u p
болуптур	b o l u p t u r
болуу	b o l u u
болууга	b o l u u gh a
болуудан	b o l u u d a n
болуулары	b o l u u l a r ih
болууну	b o l u u n u
болуучулар	b o l u u tsh u l a r
болууң	b o l u u ng
болуц	b o l u ts
болучу	b o l u tsh u
болуш	b o l u sh
болушат	b o l u sh a t
болушка	b o l u sh q a
болушкан	b o l u sh q a n
болушкансып	b o l u sh q a n s ih p
болушканына	b o l u sh q a n ih n a
болушпу	b o l u sh p u
болушса	b o l u sh s a
болушсун	b o l u sh s u n
болушта	b o l u sh t a
болуштан	b o l u sh t a n
